,Name,Url,County,Sites,Average_rent,Unnamed: 0,FullstreetAddress,Latitude,Longitude
548,Saddlebrook Farms,https://www.mhvillage.com/parks/16006, Kalamazoo ,147,410,515,"5053 S. Fourth, Kalamazoo, MI, 49009",42.30008,-85.67871
549,Hillcrest Acres,https://www.mhvillage.com/parks/15868, Kalamazoo ,150,N/A,517,"3205 Douglas Ave., Kalamazoo, MI, 49004",42.32271,-85.60429
550,Weatherstone Village Community,https://www.mhvillage.com/parks/15977, Kalamazoo ,93,608,518,"5210 Marsh Arbor Trail, Kalamazoo, MI, 49004",42.35437,-85.57046
551,Colonial Acres,https://www.mhvillage.com/parks/441, Kalamazoo ,612,N/A,524,"5374 E. Deadwood Drive, Portage, MI, 49002",42.24031,-85.54112
552,Royal Estates,https://www.mhvillage.com/parks/15341, Kalamazoo ,183,454,519,"8300 Ravine Road, Kalamazoo, MI, 49009",42.30008,-85.67871
553,Fountain Springs,https://www.mhvillage.com/parks/586, Kalamazoo ,327,460,520,"1410 South 9th Street, Kalamazoo, MI, 49009",42.30008,-85.67871
554,Pavilion Estates MHC,https://www.mhvillage.com/parks/15339, Kalamazoo ,531,369,521,"6830 E N Avenue, Kalamazoo, MI, 49048",42.24486,-85.49586
555,Huntington Run,https://www.mhvillage.com/parks/15940, Kalamazoo ,175,N/A,527,"6255 Cranbrook Lane, Kalamazoo, MI, 49009",42.25554,-85.67135
556,Saddlebrook Village,https://www.mhvillage.com/parks/48601, Kalamazoo ,142,N/A,522,"503 South Fourth, Kalamazoo, MI, 49009",42.30008,-85.67871
557,Twinleaf,https://www.mhvillage.com/parks/15335, Kalamazoo ,185,849,525,"3614 Stadium Drive, Kalamazoo, MI, 49008",42.26511,-85.61897
558,Americana Estates,https://www.mhvillage.com/parks/15497, Kalamazoo ,161,393,526,"1802 Tray Lane, Kalamazoo, MI, 49006",42.3008,-85.62484
559,Sugarloaf Mobile Home Park,https://www.mhvillage.com/parks/15488, Kalamazoo ,57,367,528,"11443 Bonnie Dr, Schoolcraft, MI, 49087",42.15079,-85.62805
560,Evergreen Park,https://www.mhvillage.com/parks/419, Kalamazoo ,76,N/A,529,"182 East D Avenue, Kalamazoo, MI, 49009",42.30008,-85.67871
561,Richland MHC,https://www.mhvillage.com/parks/417, Kalamazoo ,45,N/A,530,"9604 East M-89, Richland, MI, 49083",42.37703,-85.45947
